Baumuster,VehicleName,Status
2060561,C 300 e 4MATIC,FAIL
2533191,GLC 300 d 4MATIC Coupé,FAIL
2060871,Mercedes-AMG C 43 4MATIC Limousine,FAIL
2062031,C 200 d T-Modell,FAIL
2533231,GLC 400 d 4MATIC Coupé,FAIL
2062041,C 220 d T-Modell,FAIL
2533531,GLC 300 e 4MATIC Coupé,FAIL
2062051,C 220 d 4MATIC T-Modell,FAIL
2533641,Mercedes-AMG GLC 43 4MATIC Coupé,FAIL
2062061,C 300 d T-Modell,FAIL
2533811,GLC 200 4MATIC Coupé,FAIL
2062141,C 220 d 4MATIC T-Modell All-Terrain,FAIL
2533841,GLC 300 4MATIC Coupé,FAIL
2062411,C 180 T-Modell,FAIL
2533881,Mercedes-AMG GLC 63 4MATIC+ Coupé,FAIL
2062421,C 200 T-Modell,FAIL
2533891,Mercedes-AMG GLC 63 S 4MATIC+ Coupé,FAIL
2062431,C 200 4MATIC T-Modell,FAIL
2546051,GLC 220 d 4MATIC,PASS
2062451,C 200 4MATIC T-Modell All-Terrain,FAIL
2546071,GLC 300 d 4MATIC,PASS
2062461,C 300 T-Modell,FAIL
2546471,GLC 300 4MATIC,PASS
2062471,C 300 4MATIC T-Modell,FAIL
2062541,C 300 e T-Modell,FAIL
2546511,GLC 300 4MATIC,FAIL
2062871,Mercedes-AMG C 43 4MATIC T-Modell,FAIL
2546551,GLC 400 e 4MATIC,PASS
2130041,E 220 d Limousine,PASS
2546561,GLC 300 e 4MATIC,PASS
2130051,E 220 d 4MATIC Limousine,PASS
2573141,CLS 220 d,FAIL
2130111,E 300 de 4MATIC Limousine,FAIL
2573191,CLS 300 d 4MATIC,PASS
2130121,E 200 d Limousine,FAIL
2573231,CLS 400 d 4MATIC,FAIL
2130161,E 300 de Limousine,FAIL
2573591,CLS 450 4MATIC,FAIL
2573611,Mercedes-AMG CLS 53 4MATIC+,FAIL
2906581,Mercedes-AMG GT 43,FAIL
2130231,E 400 d 4MATIC Limousine,FAIL
2906591,Mercedes-AMG GT 43 4MATIC+,FAIL
2130531,E 300 e Limousine,FAIL
2906611,Mercedes-AMG GT 53 4MATIC+,FAIL
2130541,E 300 e 4MATIC Limousine,FAIL
2130591,E 450 4MATIC Limousine,FAIL
2130611,Mercedes-AMG E 53 4MATIC+ Limousine,FAIL
2906881,Mercedes-AMG GT 63 4MATIC+,FAIL
2130801,E 200 Limousine,FAIL
2906891,Mercedes-AMG GT 63 S 4MATIC+,FAIL
2130831,E 300 Limousine,FAIL
2938901,EQC 400 4MATIC,PASS
2130871,E 200 4MATIC Limousine,FAIL
2951111,EQE 300,FAIL
2951121,EQE 350 4MATIC,FAIL
2951221,EQE 500 4MATIC,FAIL
2132041,E 220 d T-Modell,PASS
2951251,EQE 350,FAIL
2132051,E 220 d 4MATIC T-Modell,PASS
2951321,Mercedes-AMG EQE 43 4MATIC,FAIL
2132111,E 300 de 4MATIC T-Modell,FAIL
2951531,Mercedes-AMG EQE 53 4MATIC+,FAIL
2132121,E 200 d T-Modell,FAIL
2971231,EQS 450+,FAIL
2971241,EQS 450 4MATIC,FAIL
2971341,EQS 500 4MATIC,FAIL
2132171,E 220 d 4MATIC T-Modell All-Terrain,PASS
2971551,Mercedes-AMG EQS 53 4MATIC+,FAIL
4533911,smart EQ fortwo,FAIL
4534911,smart EQ fortwo cabrio,FAIL
4632601,G 500,FAIL
4632761,Mercedes-AMG G 63,FAIL
4633501,G 400 d,FAIL
2230331,S 400 d 4MATIC Limousine,FAIL
2130191,E 300 d 4MATIC Limousine,FAIL
2906791,Mercedes-AMG GT 63 S E PERFORMANCE,PASS
1186541,Mercedes-AMG CLA 45 S 4MATIC+ Shooting Brake,FAIL
2130891,Mercedes-AMG E 63 S 4MATIC+ Limousine,FAIL
2054861,Mercedes-AMG C 63 Cabriolet,FAIL
2132161,E 300 de T-Modell,FAIL
2477511,Mercedes-AMG GLA 35 4MATIC,FAIL
2971441,EQS 580 4MATIC,FAIL
2477841,GLA 180,FAIL
